year,month,state,gender,value
2035,March,Ladakh,Male,83
2035,March,Ladakh,Female,44
2035,March,Kerala,Total,35192
2035,March,Kerala,Male,16830
2035,March,Kerala,Female,18362
2035,March,Karnataka,Total,36024
2035,March,Karnataka,Male,18352
2035,March,Karnataka,Female,17672
2035,March,Jharkhand,Total,12630
2035,March,Jharkhand,Male,6613
2035,March,Jharkhand,Female,6017
2035,March,Jammu and Kashmir,Total,4939
2035,March,Jammu and Kashmir,Male,2674
2035,March,Jammu and Kashmir,Female,2265
2035,March,Himachal Pradesh,Total,824
2035,March,Himachal Pradesh,Male,445
2035,March,Himachal Pradesh,Female,379
2035,March,Haryana,Total,16748
2035,March,Haryana,Male,8942
2035,March,Haryana,Female,7806
2035,March,Gujarat,Total,43963
2035,March,Gujarat,Male,23385
2035,March,Gujarat,Female,20578
2035,March,Goa,Total,1448
2035,March,Goa,Male,740
2035,March,Goa,Female,708
2035,March,Delhi,Total,26183
2035,March,Delhi,Male,14017
2035,March,Delhi,Female,12166
2035,March,Daman and Diu,Total,1789
2035,March,Daman and Diu,Male,1507
2035,March,Daman and Diu,Female,282
2035,March,Dadra and Nagar Haveli,Total,1281
2035,March,Dadra and Nagar Haveli,Male,762
2035,March,Dadra and Nagar Haveli,Female,519
2035,March,Chhattisgarh,Total,10465
2035,March,Chhattisgarh,Male,5350
2035,March,Chhattisgarh,Female,5115
2035,March,Chandigarh,Total,1351
2035,March,Chandigarh,Male,741
2035,March,Chandigarh,Female,610
2035,March,Bihar,Total,19429
2035,March,Bihar,Male,10253
2035,March,Bihar,Female,9176
2035,March,Assam,Total,6672
2035,March,Assam,Male,3429
2035,March,Assam,Female,3243
2035,March,Arunachal Pradesh,Total,485
2035,March,Arunachal Pradesh,Male,257
2035,March,Arunachal Pradesh,Female,228
2035,March,Andhra Pradesh,Total,23903
2035,March,Andhra Pradesh,Male,12030
2035,March,Andhra Pradesh,Female,11873
2035,March,Andaman and Nicobar Islands,Total,210
2035,March,Andaman and Nicobar Islands,Male,112
2035,March,Andaman and Nicobar Islands,Female,98
2035,March,All India,Total,586686
2035,March,All India,Male,304470
2035,March,All India,Female,282216
2035,July,West Bengal,Total,43307
2035,July,West Bengal,Male,22277
2035,July,West Bengal,Female,21030
2035,July,Uttarakhand,Total,5383
2035,July,Uttarakhand,Male,2857
2035,July,Uttarakhand,Female,2526
2035,July,Uttar Pradesh,Total,66587
2035,July,Uttar Pradesh,Male,35157
2035,July,Uttar Pradesh,Female,31430
2035,July,Tripura,Total,2416
2035,July,Tripura,Male,1225
2035,July,Tripura,Female,1191
2035,July,Telangana,Total,22402
2035,July,Telangana,Male,11274
2035,July,Telangana,Female,11128
2035,July,Tamil Nadu,Total,46310
2035,July,Tamil Nadu,Male,23155
2035,July,Tamil Nadu,Female,23155
2035,July,Sikkim,Total,555
2035,July,Sikkim,Male,290
2035,July,Sikkim,Female,265
2035,July,Rajasthan,Total,25553
2035,July,Rajasthan,Male,13351
2035,July,Rajasthan,Female,12202
2035,July,Punjab,Total,15110
2035,July,Punjab,Male,8058
2035,July,Punjab,Female,7051
2035,July,Puducherry,Total,1545
2035,July,Puducherry,Male,757
2035,July,Puducherry,Female,789
2035,July,Odisha,Total,10348
2035,July,Odisha,Male,5356
2035,July,Odisha,Female,4992
2035,July,Nagaland,Total,1552
2035,July,Nagaland,Male,814
2035,July,Nagaland,Female,739
2035,July,Mizoram,Total,786
2035,July,Mizoram,Male,394
2035,July,Mizoram,Female,393
2035,July,Meghalaya,Total,780
2035,July,Meghalaya,Male,390
2035,July,Meghalaya,Female,390
2035,July,Manipur,Total,1263
2035,July,Manipur,Male,623
2035,July,Manipur,Female,639
2035,July,Maharashtra,Total,70745
2035,July,Maharashtra,Male,37176
2035,July,Maharashtra,Female,33569
2035,July,Madhya Pradesh,Total,29509
2035,July,Madhya Pradesh,Male,15385
2035,July,Madhya Pradesh,Female,14124
2035,July,Lakshadweep,Total,71
2035,July,Lakshadweep,Male,37
2035,July,Lakshadweep,Female,34
2035,July,Ladakh,Total,128
2035,July,Ladakh,Male,84
2035,July,Ladakh,Female,44
2035,July,Kerala,Total,35338
2035,July,Kerala,Male,16900
2035,July,Kerala,Female,18438
2035,July,Karnataka,Total,36186
2035,July,Karnataka,Male,18434
2035,July,Karnataka,Female,17752
